cname,cename,cuname,acode,acname,bcode,bcname,hcode,hcname,stType,ecotype,exmarket,bexmarket,mananger,lere,domi,doshi,stockre,aldoshi,phone,email,tax,website,warea,sarea,area,postcode,signcoin,buscode,hnum,mnum,lesta,kusta,intro,buarea,sdate,bdate,fabei,onlinedate,faway,evalue,fasize,favalue,facost,fa_avalue,collcoin,firmon,firback,fircha,firsthigh,onliqian,inqian
北京歌华有线电视网络股份有限公司,"Beijing Gehua CATV Network Co.,Ltd.",歌华有线->G歌华,600037,歌华有线,--,--,--,--,上交所主板A股,文化传媒,上海证券交易所,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务,卢东涛,郭章鹏,韩霁凯,郭章鹏,于铁静,"孔炯,崔欣,崔也光,张恒,陶鸣成",010-62364114,bgctv@bgctv.com.cn,010-62364114,www.bgctv.com.cn,北京市东城区青龙胡同1号歌华大厦7层,北京市海淀区花园北路35号(东门),北京,100007,13.9亿,911100007002336492,3721,24,北京市中银律师事务所,致同会计师事务所(特殊普通合伙),"北京歌华有线电视网络股份有限公司于1999年9月经北京市人民政府批准成立,授权负责全市有线广播电视网络的建设、经营和管理,并从事广播电视节目收转传送、视频点播、网络信息服务业务、基于有线电视网的互联网接入服务、互联网数据传送增值业务、国内IP电话业务和有线电视广告设计、制作、发布业务等。 歌华有线公司2001年在上海证券交易所上市(股票代码600037),是国内有线网络上市公司、北京市第一批文化体制改革试点单位、北京市高新技术企业,2009-2011年连续三届入选全国文化企业30强,2012年被中宣部等四部门评为全国文化体制改革工作先进单位,2017年5月再度荣膺全国文化企业30强荣誉。公司连续获得并保持了北京市地方税务局“纳税信誉A级企业”称号。 近年来,歌华有线公司全力实施并不断深化“一网两平台”战略发展规划,全力做优做强做大高清交互数字电视新媒体,积极拓展三网融合业务,基本实现了“由传统媒介向新型媒体、由单一有线电视传输商向全业务综合服务提供商”的战略转型。 歌华有线公司建成了清交互数字电视基础设施,打造集政府信息平台、行业应用平台、文化共享平台、便民服务平台、用户娱乐平台于一体的高清交互数字电视新媒体。歌华有线公司积极拓展三网融合新业务,已成为首都信息化建设和智慧城市建设的重要支撑平台。公司建成了互联网、数据传送、IP电话、数据中心(IDC)等服务平台,具备为各类用户提供三网融合解决方案及数据、语音、视频和新技术综合信息服务的能力。利用网络、技术、资源和本地化优势,公司深入参与“智慧北京”建设,服务范围涵盖市、区、街道、社区等多个层次,覆盖教育、金融、医疗、环保、交通、商业、安监等领域。","广播电视网络的建设开发、经营管理和维护;广播电视节目收转、传送;广播电视网络信息服务;广播电视视频点播业务;互联网视听节目服务[第二类互联网视听节目服务中的第三项:文艺、娱乐、科技、财经、体育、教育等专业类视听节目的制作(不含采访)、播出服务;第五项:电影、电视剧、动画片类视听节目的汇集、播出服务;第六项:文艺、娱乐、科技、财经、体育、教育等专业类视听节目的汇集、播出服务](信息网络传播视听节目许可证有效期至2018年04月20日);设计、制作电视广告;利用有线电视自有界面发布广告(不得在收费点播节目中发布广告);有线电视站、共用天线设计、安装;制作、发行动画片、专题片、电视综艺,不得制作时政新闻及同类专题、专栏等广播电视节目(广播电视节目及电视剧制作许可证有效期至2016年07月18日);基于有线电视网的互联网接入业务、互联网数据传送增值业务、国内IP电话业务;第一类增值电信业务中的国内因特网虚拟专用网业务、因特网数据中心业务;第二类基础电信业务中的固定网国内数据传送业务;第二类增值电信业务中的呼叫中心业务(增值电信业务经营许可证有效期至2020年01月20日)、因特网接入服务业务;第二类增值电信业务中的信息服务业务(仅限互联网信息服务);互联网信息服务不含新闻、出版、教育、医疗、保健、药品和医疗器械、电子公告服务(互联网信息服务增值电信业务经营许可证有效期至2020年01月20日);基础软件服务;应用软件服务;销售计算机软硬件及辅助设备、通讯设备、广播电视设备;计算机系统服务;技术开发;技术服务;技术转让;技术咨询;计算机技术培训;设备租赁;出租办公用房。",1999-09-29,2001-02-08,38.67,2001-01-04,网下定价发行,1.00,8000万,15.50,3500万,12.4亿,12.1亿,32.00,28.45,56.85%,32.61,--,0.47%
中航直升机股份有限公司,AVICOPTER PLC,哈飞股份->G哈飞->哈飞股份,600038,中直股份,--,--,--,--,上交所主板A股,航天航空,上海证券交易所,制造业-铁路、船舶、航空航天和其他运输设备制造业,吕杰,曲景文,顾韶辉,曲景文,--,"鲍卉芳,吴坚,王正喜",0451-86528350,capitalcopter@avic.com,0451-86524324,--,黑龙江省哈尔滨市平房区友协大街15号,黑龙江省哈尔滨市高新技术开发区集中开发区34号楼,黑龙江,150066,5.89亿,912301997028500774,12067,22,北京市嘉源律师事务所,信永中和会计师事务所(特殊普通合伙),"中航直升机股份有限公司是国内直升机制造业的主力军,现有核心产品包括直8、直9、直11、AC311、AC312、AC313等型号直升机及零部件、上述产品的改进改型和客户化服务,以及Y12和Y12F系列飞机,在国内处于技术领先地位。",航空产品及零配件的开发、设计、研制、生产、销售业务;航空科学技术开发、咨询、服务;机电产品的开发、设计研制、生产和销售(国家规定需审批的项目除外)。经营进出口业务(按外经贸部批准文件执行)。兼营;经工商行政管理机关批准的其它业务。,1999-07-30,2000-12-18,42.11,2000-11-22,网下定价发行,1.00,6000万,7.85,1500万,4.71亿,4.56亿,18.80,18.79,63.93%,19.68,--,0.30%
四川路桥建设集团股份有限公司,"Sichuan Road & Bridge Co.,Ltd.",四川路桥->S川路桥,600039,四川路桥,--,--,--,--,上交所主板A股,工程建设,上海证券交易所,建筑业-土木工程建筑业,甘洪,孙云,周勇,孙云,朱霞,"杨勇,吴开超,吴越,范文理",028-85126085,srbcdsh@163.com,028-85126084,www.scrbc.com.cn,四川省成都市高新区九兴大道12号,四川省成都市高新区高朋大道11号科技工业园F-59号,四川,610041,37.1亿,915100007118906956,10930,21,北京康达(成都)律师事务所,信永中和会计师事务所(特殊普通合伙),"四川路桥建设集团股份有限公司由四川公路桥梁建设集团公司发起创立于1999年,于2003年3月在上海证券交易所挂牌交易(简称四川路桥,股票代码600039),是四川省交通系统A股上市企业;2012年,路桥集团和路桥股份通过重大资产重组实现整体上市,母公司为四川省铁路产业投资集团有限责任公司。截止2015年末,公司注册资本30.20亿元,总资产550.42亿元,2015年度实现营业收入307.71亿元,基本每股收益0.3395元。公司主要从事交通基础设施的设计、投资、建设和运营,下辖10家一级全资、控股子公司,26家二级全资、控股子公司,员工9000余人。核心子公司四川公路桥梁建设集团有限公司是一家具备公路工程设计施工总承包特级资质的路桥施工企业,业务遍布国内绝大多数省份,以及非洲、中东、东南亚、欧洲等多个海外国家和地区,工程建设科技水平处于国内外领先地位。公司坚持“一业为主、两翼并举、多元发展”的基本发展战略,在夯实工程建设主业的同时,推进产业结合、主辅互动,大力实施产业投资和资本运营,在清洁能源、矿产资源、商贸、金融证券等领域实现了成功开拓。",公路工程、房建工程、市政公用工程、桥梁工程、电力工程、机电安装工程、地基与基础工程、土石方工程、预拌商品混凝土、混凝土预制构件、隧道工程、公路交通工程、建筑装修装饰工程;工程勘察设计、测绘服务、规划管理、工程管理服务;工程机械租赁、维修;建筑材料生产;高速公路管理;项目投资与资产管理;商品批发与零售;物业管理。,1999-12-28,2003-03-25,14.93,2003-03-10,定向配售,1.00,1.00亿,6.87,2900万,6.87亿,6.58亿,8.98,9.07,47.15%,9.30,--,--
保利发展控股集团股份有限公司,"Poly Developments and Holdings Group Co., Ltd.",--,600048,保利地产,--,--,--,--,上交所主板A股,房地产,上海证券交易所,房地产业-房地产业,刘平,宋广菊,黄海,宋广菊,"旷煜,黄承琰","戴德明,李非,朱征夫",020-89898833,stock@polycn.com,020-89898666-8831,www.polycn.com,广东省广州市海珠区阅江中路688号保利国际广场北塔30-33层,广州市海珠区阅江中路688号保利国际广场30-33层,广东,510308,119亿,91440101741884392G,49127,20,北京德恒律师事务所,立信会计师事务所(特殊普通合伙),"保利发展控股集团股份有限公司(SH600048),简称保利发展,是中国保利集团控股的大型中央企业,福布斯世界500强第269位。公司是国内较早从事不动产投资开发的企业之一,旗下“保利地产”是业内知名的领军品牌。公司的不动产投资、开发、运营业务,已实现国际化规模经营,业务遍布全球一百多个城市。公司拥有不动产全业态的开发经验,除住宅、商务写字楼外,在品牌酒店、购物中心、会展中心、体育场馆、产业园区、主题公园、旅游度假等领域,形成了自主品牌体系与标杆产品。",项目投资;房地产开发经营;物业管理;房屋租赁;建筑物拆除(不含爆破作业);房屋建筑工程设计服务;铁路、道路、隧道和桥梁工程建筑;建筑工程后期装饰、装修和清理;土石方工程服务;建筑物空调设备、通风设备系统安装服务;酒店管理;商品批发贸易(许可审批类商品除外);商品零售贸易(许可审批类商品除外),1992-09-14,2006-07-31,18.85,2006-07-19,网下询价配售,1.00,1.50亿,13.95,7394万,20.9亿,20.2亿,19.89,20.21,78.01%,21.00,0.91%,1.21%
中国联合网络通信股份有限公司,China United Network Communications Limited,中国联通->G联通,600050,中国联通,--,--,--,--,上交所主板A股,电信运营,上海证券交易所,信息传输、软件和信息技术服务业-电信、广播电视和卫星传输服务,李国华,王晓初,朱可炳,王晓初,黄学谦,"冯士栋,吴晓根,吕廷杰,陈建新",010-66259179,ir@chinaunicom-a.com,010-66259544,www.chinaunicom-a.com,北京市西城区金融大街21号,北京市西城区金融大街21号4楼,北京,100033,310亿,91310000710929383P,246299,20,北京市通商律师事务所,毕马威华振会计师事务所(特殊普通合伙),"中国联合网络通信股份有限公司是经国务院批准的控股公司,经营范围为电信业的投资,根据工业和信息化部、国家发展和改革委员会和财政部《关于深化电信体制改革的通告》精神,公司于2008年顺利完成了CDMA业务的出售以及与中国网通的合并交易。2009年一月,收购了本公司的控股股东--联通集团的固网业务及部分资产。2009年一月七日,工业和信息化部向中国三家基础电信运营商发放了3G业务经营许可,联通集团获得了WCDMA第三代数字蜂窝移动通信业务经营许可,并授权本公司的间接控股子公司—中国联合网络通信有限公司在全国范围内经营此项业务。至此,本公司成为一家全国性的全业务电信运营商,并得以进入拥有良好市场增长空间的3G业务领域。","电信业的投资。本公司仅限于通过中国联通(BVI)有限公司(“ChinaUnicomBVILimited”,简称“联通BVI公司”)持有中国联合网络通信(香港)股份有限公司(ChinaUnicom(HongKong)Limited,简称“联通红筹公司”)的股权,并保持对联通红筹公司的实际控制权。在本公司存续期间内,本公司持有的联通BVI公司的股份不得以任何形式被转让、质押或设置任何第三方权利。",2001-12-31,2002-10-09,20.23,2002-09-20,其他发行方式,1.00,50.0亿,2.30,2.40亿,115亿,113亿,3.05,2.87,47.45%,3.15,--,--
宁波联合集团股份有限公司,"Ningbo United Group Co.,Ltd.",宁波联合->G联合,600051,宁波联合,--,--,--,--,上交所主板A股,综合行业,上海证券交易所,批发和零售业-批发业,王维和,李水荣,董庆慈,李水荣,汤子俊,"郑磊,郑晓东,俞春萍",0574-86221609,info@nug.com.cn,0574-86221320,www.nug.com.cn,浙江省宁波开发区东海路1号联合大厦,浙江省宁波经济技术开发区东海路1号联合大厦,浙江,315803,3.11亿,9133020025410108X4,571,14,浙江波宁律师事务所,天健会计师事务所(特殊普通合伙),"宁波联合集团股份有限公司旗下现有6家全资子公司和控股子公司。在高度竞争的市场环境中,集团以稳健经营、长续发展的经营理念,培育核心竞争力,在热电、房地产和国际贸易等领域确立了行业领先地位,并拥有优秀的管理团队和人才储备。 公司在发展中收获了良好的经济效益和广泛的社会效益:1995年被授予“中国国有企业500强”,2002-2004年连续3年蝉联“中国500强企业”,2005-2010年荣膺“中国服务业500强企业”,2007年入选“上证公司治理指数”样本股。","高新技术产品投资开发,能源、交通、通讯项目及市政基础设施建设,房地产开发经营;实业项目投资;化工原料及产品批发、零售;自营和代理各类货物和技术的进出口,但国家限定经营或禁止进出口的货物和技术除外;技术咨询。以下均限分支机构经营:环保设备、仪器仪表、普通机械、电器产品的开发、制造、安装、维修;环保工程建设;住宿、食品经营:餐饮服务;打字复印;出版物批发、零售;卷烟、雪茄烟零售;道路旅客运输、道路货物运输;工程建筑;汽车销售;境内旅游业务、入境旅游业务、出境旅游业务;机动车维修、汽车租赁;保险代理;二手车经销;高危险性体育项目;室内娱乐活动;第二类医疗器械的零售;健身服务、棋牌服务、会务服务、物业服务;机电设备、金属材料及制品、建材的批发、零售。(未经金融等监管部门批准不得从事吸收存款、融资担保、代客理财、向社会公众集(融)资等金融业务)(依法须经批准的项目,经相关部门批准后方可开展经营活动)",1994-03-31,1997-04-10,13,1997-03-31,网下定价发行,1.00,3000万,11.78,942万,3.53亿,3.44亿,32.00,30.98,63.73%,33.00,--,1.53%
浙江广厦股份有限公司,"Zhejiang Guangsha Co.,Ltd.",浙江广厦->S浙广厦->浙江广厦->*ST广厦,600052,浙江广厦,--,--,--,--,上交所主板A股,房地产,上海证券交易所,房地产业-房地产业,张霞,张霞,包宇芬,张霞,黄霖翔,"赵敏,李学尧,李勤",0571-87974176,stock600052@gsgf.com,0571-85125355,www.gsgf.com,浙江省杭州市江干区景昙路9号西子国际A座14楼,浙江省东阳市振兴路1号西侧,浙江,310020,8.72亿,91330000704206103U,154,15,浙江天册律师事务所,天健会计师事务所(特殊普通合伙),"浙江广厦股份有限公司(以下简称“公司”),成立于1993年7月,并于1997年4月15日在上海证券交易所挂牌上市,成为国家建设部推荐的全国建筑业上市公司。","房地产投资,实业投资,房地产中介代理,园林、绿化、市政、幕墙、智能化、装修装饰、照明工程的施工,建筑材料、建筑机械的制造、销售,有色金属销售,水电开发,会展服务。",1993-07-13,1997-04-15,15,1997-04-01,网下定价发行,1.00,3500万,5.70,700万,2.00亿,1.93亿,17.00,19.18,72.21%,19.49,--,0.95%
昆吾九鼎投资控股股份有限公司,"Kunwu Jiuding Investment Holdings CO.,Ltd",江西纸业->ST江纸->*ST江纸->ST江纸->SST江纸->ST江纸->中江地产,600053,九鼎投资,--,--,--,--,上交所主板A股,多元金融,上海证券交易所,金融业-其他金融业,古志鹏,古志鹏,易凌杰,蔡蕾,黄亚伟,"马思远,向锐,周春生",0791-88666003,600053@jdcapital.com,0791-88666007,www.jdcapital.com,江西省南昌市东湖区沿江北大道1379号紫金城A栋写字楼,江西省南昌市湾里区翠岩路1号,江西,330077,4.34亿,91360000158309980U,330,16,北京大成律师事务所,北京兴华会计师事务所(特殊普通合伙),"昆吾九鼎投资控股股份有限公司(简称九鼎投资)是在上海证券交易所上市的私募股权投资与管理机构。九鼎投资总部位于北京,在中国大陆、欧洲、美洲等地设有上百家分支机构。曾于2011、2012、2015年3度获评清科“中国最佳PE机构”,并连续9年获评“中国PE机构十强”。曾于2011、2012、2015、2016年度4度获评投中“中国最佳PE投资机构”,连续7年获评“中国最佳PE投资机构五强”,并连续5年获评“中国最佳中资PE投资机构”。","投资管理;投资咨询;房地产开发经营;土地开发及经营;对旅游项目的投资;装饰工程;建筑材料的生产、销售;建筑工程的设计与规划;物业管理;资产管理;自有房屋租赁;室内外装修装饰工程设计、施工。公司根据国内和国外市场趋势、国内和国际业务发展需要及公司自身发展能力和业务需要,依照法定程序修改本章程并经登记机关变更登记,可以变更公司的经营方式和经营范围。",1997-04-14,1997-04-18,14,1997-04-03,网下定价发行,1.00,4500万,5.60,1080万,2.52亿,2.41亿,13.52,13.26,60.60%,14.09,--,0.97%
黄山旅游发展股份有限公司,"Huangshan Tourism Development Co.,Ltd.",黄山旅游->G黄山,600054,黄山旅游,900942,黄山B股,--,--,上交所主板A股,旅游酒店,上海证券交易所,水利、环境和公共设施管理业-公共设施管理业,陶平,章德辉,丁维,章德辉,黄嘉平,"郭永清,陈俊,高舜礼","0559-2586678,0559-2586698",hs600054@126.com,0559-2586855,www.hstd.com,安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),安徽省黄山市屯溪区天都大道5号(天都国际饭店D座16-18楼),安徽,245000,7.29亿,91341000610487768C,3417,19,安徽天禾律师事务所,容诚会计师事务所(特殊普通合伙),"黄山旅游发展股份有限公司景区管理业务现负责黄山风景区和花山谜窟的日常经营管理、基础设施建设、环境卫生保洁、污水处理等业务。公司索道业务涵盖黄山云谷索道、玉屏索道、太平索道及西海观光缆车。公司拥有10余家精品酒店,其中景区内主要分布为北海宾馆、狮林大酒店、西海饭店、排云楼宾馆、白云宾馆和玉屏楼宾馆。公司旅行社业务涵盖国内旅游、入境旅游、出境旅游、会展服务、广告策划等方面。徽文化主题餐饮板块依托黄山旅游品牌、资源、资金、人才、技术和管理优势,打造独具特色的文化餐饮品牌。公司所依托的黄山风景区是世界文化与自然双遗产,世界地质公园、全国首批5A级旅游景区,以奇松、怪石、云海、温泉、冬雪“五绝”和遗存、书画、文学、传说、名人“五胜”闻名于世,黄山景区周边自然资源和以徽文化为代表的旅游资源丰富,战略纵深空间广阔。","旅游接待、服务,旅游商品开发、销售,旅游运输,饮食服务,旅游资源开发,旅游度假、疗休养相关服务,组织举办与旅游相关的贸易活动,信息咨询。房地产开发经营、房地产租赁。",1996-11-18,1997-05-06,--,1997-04-17,网上定价发行,1.00,4000万,6.02,--,2.41亿,2.31亿,20.88,21.44,59.13%,22.00,--,0.43%
北京万东医疗科技股份有限公司,"Beijing Wandong Medical Technology Co.,Ltd.",万东医疗->G万东->万东医疗->华润万东,600055,万东医疗,--,--,--,--,上交所主板A股,医疗行业,上海证券交易所,制造业-专用设备制造业,燕霞,谢宇峰,任志林,谢宇峰,何一中,"钟明霞,李坤成,姚焕然",010-84569688,wdmed@public.bta.net.cn,010-84575717,www.wandong.com.cn,北京市朝阳区酒仙桥东路9号院3号楼,北京市朝阳区酒仙桥东路9号院3号楼,北京,100015,5.41亿,9111000063379674X4,743,21,北京市君合律师事务所,立信会计师事务所(特殊普通合伙),"北京万东医疗科技股份有限公司始于1955年,专业从事影像类医疗器械的研发、制造、生产,及影像诊断服务,1997在上海证券交易所成功上市(股票代码:600055),是全国医用诊断X线机生产企业中的上市企业。","医疗器械制造;普通货运。货物进出口;技术进出口;代理进出口;机器设备安装、维修;技术咨询、技术服务;劳务服务;销售汽车(不含九座以下乘用车);物业管理,出租商业用房,出租办公用房。医疗器械销售;医疗设备建筑施工;屏蔽工程施工。",1997-05-12,1997-05-19,14,1997-04-24,网下定价发行,1.00,1500万,8.54,480万,1.28亿,1.23亿,24.80,22.66,57.97%,25.00,--,0.51%
中国医药健康产业股份有限公司,"China Meheco Group Co.,Ltd.",中技贸易->G中技->中技贸易,600056,中国医药,--,--,--,--,上交所主板A股,医药制造,上海证券交易所,制造业-医药制造业,侯文玲,高渝文,刘清源,高渝文,张琳,"祝继高,史录文,郭云沛",010-67164267,Meheco600056@meheco.com.cn,010-67152359,www.meheco.com,北京市东城区光明中街18号,北京市东城区光明中街18号,北京,100061,10.7亿,911100001000265317,8610,19,北京市竞天公诚律师事务所,立信会计师事务所(特殊普通合伙),"中国医药健康产业股份有限公司是在上海证券交易所挂牌的国有控股上市公司(股票简称:中国医药;证券代码:600056),其控股股东为中央骨干企业中国通用技术(集团)控股有限公司。公司秉承“关爱生命、追求卓越”的核心理念,致力于医药产业发展和人类健康事业,努力打造中国医药领域的旗舰企业。在医药研发生产领域,公司拥有两家博士后科研工作站及一大批高素质研发专家,曾获国家科技进步二等奖;公司拥有国内领先的化学原料药研发生产平台,国内先进的特色化学药、现代中药研发生产平台,在抗感染类、抗病毒类药物的研发生产及甘草等药材及其制品的种植加工领域处于领先地位。在国际贸易领域,作为医药行业进出口领域传统专业主渠道,公司始终保持着领先地位,且在政府项目业务领域具备传统实力和特色优势。天然药物贸易业务坚持全产业链专业化发展模式,有机整合天然药物种植、仓储、加工、销售等产业链环节,在行业内居于领先地位。医药化工贸易业务经营范围涵盖化学原料及制剂、生物及血液制品各品规、全领域,可为客户提供一流的医药化工贸易集成服务。医疗器械贸易业务致力于为客户提供全过程项目集成化服务,并与世界各著名医疗器械生产商建立了稳固的合作关系,在进口和分销领域处于国内领先地位。健康领域大宗商品业务涉及保健食品原料、大宗农产品、精细化工原材料等,在一些重点商品进出口贸易领域有较高知名度。面向未来,中国医药着力在重点产品领域建立横跨国内和国际两个市场的营销网络,聚焦现代中药、特色化学制剂和生物制药等核心产业领域,打造集研发、生产、销售、服务于一体的产业链,努力将公司发展成为一家在国内医药行业中具有重要地位、在国际市场具有较强竞争力和品牌影响力的科工贸一体化大型医药企业集团。","批发中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素、生化药品、生物制品、体外诊断试剂、疫苗、毒性中药材、毒性中药饮片;销售医疗器械 III、 II 类:眼科手术器械;矫形外科(骨科)手术器械;计划生育手术器械;注射穿刺器械;医用电子仪器设备;医用光学器具、仪器及内窥镜设备;医用超声仪器及有关设备;医用激光仪器设备;医用高频仪器设备;物理治疗及康复设备;中医器械;医用磁共振设备;医用 X 射线设备;医用 X 射线附属设备及部件;医用高能射线设备;医用核素设备;医用射线防护用品、装置;临床检验分析仪器;体外诊断试剂;体外循环及血液处理设备;植入材料和人工器官;手术室、急救室、诊疗室设备及器具;病房护理设备及器具;医用冷疗、低温、冷藏设备及器具;口腔科材料;医用卫生材料及敷料;医用缝合材料及粘合剂;医用高分子材料及制品; II 类:显微外科手术器械;耳鼻喉科手术器械;口腔科手术器械;泌尿肛肠外科手术器械;妇产科用手术器械;普通诊察器械;口腔设备及器具;消毒和灭菌设备及器具;批发(非实物方式)预包装食品、乳制品(含婴幼儿配方乳粉);对外派遣实施境外工程所需的劳务人员;加工中药饮片(仅限分公司经营);进出口业务;经营国际招标采购业务,承办国际金融组织贷款项下的国际招标采购业务;经营高新技术及其产品的开发;承包国(境)外各类工程和境内国际招标工程;汽车的销售;种植中药材;销售谷物、豆类、薯类、饲料、 化工产品(危险化学品及一类易制毒化学品除外);仓储服务。(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动。)",1997-05-08,1997-05-15,15,1997-04-28,网下定价发行,1.00,3000万,7.02,861万,2.11亿,2.02亿,20.00,22.00,73.98%,22.25,--,0.89%
厦门象屿股份有限公司,"Xiamen Xiangyu Co.,Ltd.",厦新电子->ST厦新->厦新电子->夏新电子->G夏新->夏新电子->*ST夏新->象屿股份,600057,厦门象屿,--,--,--,--,上交所主板A股,交运物流,上海证券交易所,租赁和商务服务业-商务服务业,邓启东,张水利,廖杰,张水利,史经洋,"沈维涛,沈艺峰,廖益新",0592-6516003,stock@xiangyu.cn,0592-5051631,www.xiangyu.cn,福建省厦门现代物流园区象屿路99号厦门国际航运中心E栋9层,厦门市现代物流园区象屿路99号厦门国际航运中心E栋7层08单元,福建,361006,21.6亿,91350200260131285X,5659,19,福建天衡联合律师事务所,容诚会计师事务所(特殊普通合伙),"厦门象屿股份有限公司由象屿集团旗下所有供应链服务相关子公司重组而成,2011年8月在上海证券交易所重组上市(股票代码:600057)。公司主营业务为供应链管理及流通服务、物流平台开发运营。公司以“创造流通价值,服务企业成长”为经营宗旨,立足供应链,服务产业链,紧跟中国由世界工厂向世界市场发展的步伐,为客户提供从原辅材料与半成品的采购供应直至产成品的分拨配送之间的全价值链流通服务,对全过程的商流、物流、资金流以及信息流进行系统、完善的计划、组织、协调、控制,协助制造和流通企业全方位打造供应链核心竞争力。公司已形成覆盖全国的市场网络,并拥有完善的海外代理网络,已成为国内外一批大型企业的战略合作伙伴。","经营各类商品和技术的进出口(不另附进出口商品目录),但国家限定公司经营或禁止进出口的商品及技术除外;谷物、豆及薯类批发;饲料批发;林产品批发;其它农牧产品批发;其他预包装食品批发;其他散装食品批发;金属及金属矿批发(不含危险化学品和监控化学品);建材批发;其他化工产品批发(不含危险化学品和监控化学品);五金产品批发;汽车零配件批发;摩托车零配件批发;其他机械设备及电子产品批发;化肥批发;石油制品批发(不含成品油、危险化学品和监控化学品);纺织品、针织品及原料批发;棉、麻批发;服装批发;其它未列明批发业(不含需经许可审批的经营项目);供应链管理;贸易代理;其他贸易经纪与代理;国际货运代理;国内货运代理;其他未列明运输代理业务(不含须经许可审批的事项);机械设备仓储服务;其他仓储业(不含需经许可审批的项目);房地产开发经营;其他未列明房地产业;商务信息咨询;软件开发;其他未列明信息技术服务业(不含需经许可审批的项目)",1997-05-23,1997-06-04,14,1997-05-13,其他发行方式,1.00,4000万,4.43,600万,1.77亿,1.71亿,19.01,19.25,52.44%,25.00,--,2.92%
五矿发展股份有限公司,"Minmetals Development Co.,Ltd.",五矿发展->龙腾科技->五矿发展->G五矿,600058,五矿发展,--,--,--,--,上交所主板A股,国际贸易,上海证券交易所,批发和零售业-批发业,魏涛,刘青春,王宏利,刘青春,曲世竹,"张守文,王秀丽,汤敏",010-68494205,minlist@minmetals.com,010-68494207,www.minlist.com.cn,北京市海淀区三里河路5号B座,北京市海淀区三里河路5号B座,北京,100044,10.7亿,91110000100026638J,4025,17,北京中博律师事务所,中审众环会计师事务所(特殊普通合伙),"五矿发展股份有限公司(SH.600058)于1997年5月28日在上海证券交易所挂牌上市,是国内极大的综合性钢铁流通服务商之一,业务范围涵盖冶金原材料供应、钢材贸易、加工配送、物流服务、招标采购、电子商务等金属供应链中各个环节。目前,五矿发展分别为中证500、中证央企、上证公司治理指数成分股,公司在资本市场树立了运作规范、治理完善的良好形象。凭借稳固的行业领导地位以及对社会的突出贡献,公司得到了行业及社会各界的认可,并获得了多项荣誉。2017年,在《财富》杂志公布的中国五百强企业榜单中,五矿发展以407.27亿元的营业收入总额(2016年度数据)位列中国500强第161位。","钢铁及炉料(包括铁矿砂、生铁、废钢、焦炭等)、废船、非金属矿产品及其制品、建筑材料、耐火材料等商品的自营和代理进出口业务;以上主营产品的生产(废船除外)和销售;自营和代理除国家组织统一联合经营的16种出口商品以外的其他商品和技术出口业务;自营和代理除国家实行核定公司经营的其余13种进口商品以外的其他商品和技术进口业务;进出口货物的运输和运输代理、仓储、保险业务;经营国际金融组织贷款和日本输出入银行能源贷款项下的直接采购和招标采购业务;经营外国政府贷款、出口信贷、现汇项下国家及地方重点建设项目的技术和成套设备的引进业务;酒店经营及服务;自营和代理进出口贸易;“三来一补”业务;易货贸易;对销贸易;转口贸易;运输业务;饭店经营;高新科技产品的技术开发;对高新科技产品进行投资管理;网络信息技术的技术开发、技术转让;电子商务;信息咨询;上述商品的国内批发、零售、仓储、加工(国家有专项专营规定的需经特别批准)。(未经专项审批的项目除外。依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动。)",1997-05-21,1997-05-28,15,1997-05-05,网下定价发行,1.00,7500万,8.52,1500万,6.39亿,6.26亿,18.80,19.02,65.30%,19.50,--,1.11%
